----------------------------------------
Begin Torque Prologue on nid25256
at Sun Nov 27 21:14:30 CST 2016
Job Id:			5803433.bw
Username:		tra307
Group:			TRAIN_bacu
Job name:		CIFAR10
Requested resources:	neednodes=1:ppn=16:xk,nodes=1:ppn=16:xk,walltime=10:00:00
Queue:			normal
Account:		bacu
End Torque Prologue:  0.071 elapsed
----------------------------------------




Train accuracy: 99.916001
Train accuracy: 99.910001
Train accuracy: 99.932001
Train accuracy: 99.934000
Train accuracy: 99.926001
Train accuracy: 99.928001
Train accuracy: 99.902001
Train accuracy: 99.920001
Train accuracy: 99.916001
Train accuracy: 99.910001
Train accuracy: 99.908001
Train accuracy: 99.904001
Train accuracy: 99.928001
Train accuracy: 99.922001
Train accuracy: 99.892001
Train accuracy: 99.916001
Train accuracy: 99.880001
Train accuracy: 99.866001
Train accuracy: 99.890001
Train accuracy: 99.916001
Train accuracy: 99.918001
Train accuracy: 99.940001
Train accuracy: 99.926001
Train accuracy: 99.940001
Train accuracy: 99.934000
Train accuracy: 99.948000
Train accuracy: 99.934001
Train accuracy: 99.954000
Train accuracy: 99.938001
Train accuracy: 99.942001
Train accuracy: 99.940000
Train accuracy: 99.956000
Train accuracy: 99.930000
Train accuracy: 99.920001
Train accuracy: 99.930001
Train accuracy: 99.918001
Train accuracy: 99.918001
Train accuracy: 99.950001
Train accuracy: 99.914001
Train accuracy: 99.926001
Train accuracy: 99.914001
Train accuracy: 99.906001
Train accuracy: 99.894001
Train accuracy: 99.874001
Train accuracy: 99.918001
Train accuracy: 99.928001
Train accuracy: 99.910001
Train accuracy: 99.920001
Train accuracy: 99.906001
Train accuracy: 99.926001
Train accuracy: 99.934001
Train accuracy: 99.936001
Train accuracy: 99.926001
Train accuracy: 99.928001
Train accuracy: 99.944001
Train accuracy: 99.924001
Train accuracy: 99.898001
Train accuracy: 99.936001
Train accuracy: 99.922001
Train accuracy: 99.950001
Train accuracy: 99.936000
Train accuracy: 99.930000
Train accuracy: 99.932001
Train accuracy: 99.926001
Train accuracy: 99.926001
Train accuracy: 99.936001
Train accuracy: 99.948001
Train accuracy: 99.912001
Train accuracy: 99.936001
Train accuracy: 99.932001
Train accuracy: 99.962000
Train accuracy: 99.946000
Train accuracy: 99.932001
Train accuracy: 99.946001
Train accuracy: 99.942001
Train accuracy: 99.950001
Train accuracy: 99.908001
Train accuracy: 99.948000
Train accuracy: 99.936001
Train accuracy: 99.948000
Train accuracy: 99.936001
Train accuracy: 99.938001
Train accuracy: 99.954001
Train accuracy: 99.946001
Train accuracy: 99.952000
Train accuracy: 99.960000
Train accuracy: 99.942001
Train accuracy: 99.954000
Train accuracy: 99.934001
Train accuracy: 99.940001
Train accuracy: 99.930001
Train accuracy: 99.942001
Train accuracy: 99.948001
Train accuracy: 99.940001
Train accuracy: 99.964000
Train accuracy: 99.952001
Train accuracy: 99.960000
Train accuracy: 99.960000
Train accuracy: 99.948000
Train accuracy: 99.958000
Train accuracy: 99.962000
Test Accuracy: 88.390000
Application 54049754 network quiesced: 1 node quiesced, 00:01:01 node-seconds
Application 54049754 exit codes: 1
Application 54049754 resources: utime ~23031s, stime ~3636s, Rss ~1675752, inblocks ~557688, outblocks ~4060
